order_date,price,quantity,discount,country,segment
2024-01-05,10.5,1.0,0.1,USA,Retail
2024-02-10,20.0,2.0,0.1,UK,Corporate
,15.0,3.0,0.05, Canada , Home Office
,18.65,4.0,0.1,USA,Retail
,12.0,3.0,0.02,Mexico,Corporate
2024-06-01,18.0,3.0,0.1,USA,Retail
2024-07-10,22.3,2.0,0.15,USA,Home Office
2024-08-15,18.65,5.0,0.2,Canada,Retail
,30.0,3.0,0.1,UK,Corporate
,25.0,4.0,0.12,USA,Corporate
2024-11-22,17.5,2.0,0.08,USA,Retail
2024-12-30,19.0,3.0,0.03,Canada,Home Office
2024-01-14,21.2,1.0,0.1,USA,Retail
,18.65,3.0,0.06,Mexico,Corporate
2024-03-20,14.8,2.0,0.1,USA,Corporate
,9.5,3.0,0.2,Canada,Retail
2024-04-30,16.0,3.0,0.04,USA,Home Office
,18.65,4.0,0.05,USA,Retail
2024-06-18,22.1,2.0,0.1,USA,Corporate
2024-07-25,23.0,5.0,0.3,Mexico,Retail
2024-08-12,11.5,1.0,0.1,Canada,Corporate
2024-09-01,18.65,3.0,0.1,UK,Retail
2024-10-10,27.0,3.0,0.05,USA,Corporate
,18.3,2.0,0.1,USA,Retail
2024-05-05,16.0,2.0,0.1,Canada,Home Office
2024-03-03,20.5,4.0,0.15,UK,Corporate
2024-08-19,17.0,3.0,0.2,USA,Retail
2024-11-11,14.7,2.0,0.05,USA,Retail
2024-12-21,18.65,3.0,0.1,Mexico,Corporate
2024-09-14,13.9,4.0,0.08,Canada,Retail
2024-06-30,21.4,3.0,0.1,USA,Corporate
,23.8,5.0,0.25,UK,Home Office
,18.65,2.0,0.1,USA,Retail
2024-05-18,19.1,3.0,0.07,USA,Corporate
2024-05-29,13.0,1.0,0.05,USA,Retail
2024-10-20,25.7,3.0,0.12,Canada,Corporate
2024-04-17,18.65,2.0,0.08,Mexico,Retail
2024-06-29,24.5,3.0,0.15,USA,Home Office
2024-08-23,20.0,4.0,0.1,Canada,Retail
2024-09-02,17.2,1.0,0.03,UK,Corporate
,18.65,3.0,0.1,invalid,invalid
2024-12-31,29.9,3.0,0.2,USA,Retail
