Order Date , Price , Quantity , Discount%, Country , Segment 
2024/01/05,10.5,1,0.1,USA,Retail
2024/02/10,20,2,,UK,Corporate
2024-03-12 , 15 , 3 , 0.05 , Canada , Home Office
03/25/2024,invalid,4,0.1,USA,Retail
not a date,12,,0.02,Mexico,Corporate
2024/06/01,18, , ,USA,Retail
2024/07/10,22.3,2,0.15,,Home Office
2024/08/15, ,5,0.2,Canada,Retail
2024-09-01,30,3,invalid,UK,Corporate
,25,4,0.12,USA,Corporate
2024/11/22,17.5,2,0.08,USA,Retail
2024/11/22,17.5,2,0.08,USA,Retail
2024/12/30,19,,0.03,Canada,Home Office
2024/12/30,19,,0.03,Canada,Home Office
2024/01/14,21.2,1,,USA,Retail
2024-02-18,invalid,3,0.06,Mexico,Corporate
2024/03/20,14.8,2,0.1,USA,Corporate
03-28-2024,9.5,,0.2,Canada,Retail
2024/04/30,16,3,0.04,,Home Office
,invalid,4,0.05,USA,Retail
2024/06/18,22.1,2,,USA,Corporate
2024/07/25,23,5,0.3,Mexico,Retail
2024/08/12,11.5,1,,Canada,Corporate
2024/09/01,invalid,,invalid,UK,Retail
2024/10/10,27,3,0.05,USA,Corporate
12/01/2024,18.3,2,0.1,USA,Retail
2024/01/05,10.5,1,0.1,USA,Retail
2024/05/05,16,2,,Canada,Home Office
2024/03/03,20.5,4,0.15,UK,Corporate
2024/08/19,17,,0.2,,Retail
2024/11/11,14.7,2,0.05,USA,Retail
2024/12/21,invalid,3,,Mexico,Corporate
2024/09/14,13.9,4,0.08,Canada,Retail
2024/06/30,21.4,,0.1,USA,Corporate
07/22/2024,23.8,5,0.25,UK,Home Office
2024-03-12 , 15 , 3 , 0.05 , Canada , Home Office
2024-03-12 , 15 , 3 , 0.05 , Canada , Home Office
,,2,,USA,Retail
2024/05/18,19.1,3,0.07,,Corporate
2024/02/10,20,2,,UK,Corporate
2024/07/10,22.3,2,0.15,,Home Office
2024/05/29,13,1,0.05,USA,Retail
2024/10/20,25.7,3,0.12,Canada,Corporate
2024/04/17,invalid,2,0.08,Mexico,Retail
2024/06/29,24.5,,0.15,USA,Home Office
2024/08/23,20,4,0.1,Canada,Retail
2024/09/02,17.2,1,0.03,UK,Corporate
invalid,invalid,invalid,invalid,invalid,invalid
2024/12/31,29.9,3,0.2,USA,Retail
